ID;Birth;Death;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
CCN;1978;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CCU;1978;0;0;0;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1
CDA;1978;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1
CDC;1978;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CDI;1978;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;1
CDY;1978;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1
CGB;1978;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0
CGF;1978;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1
CIB;1978;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;0;0;0
CIR;1978;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;1;0
CLG;1978;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNK;1978;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRU;1978;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CSX;1978;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1
CTV;1978;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0
